ID,Código del tutor,¿Cuánto tiempo ha utilizado el niño la aplicación móvil en RA,"PreguntaEn una escala del 1 al 10, donde 1 es ""muy difícil"" y 10 es ""muy fácil"", ¿cómo calificarías la facilidad de uso de la aplicación para el niño?",¿Consideras que la aplicación ha sido útil para el aprendizaje y desarrollo del niño con TEA?,"¿Has notado mejoras en las habilidades del niño (por ejemplo, habilidades de interacción social, comprensión de conceptos científicos, motricidad fina, etc.) desde que comenzó a utilizar la aplica...",¿Consideras que la aplicación se adapta a las necesidades individuales del niño?,¿Has encontrado alguna dificultad para utilizar alguna funcionalidad específica de la aplicación?,"En una escala del 1 al 10, donde 1 es ""muy insatisfactorio"" y 10 es ""muy satisfactorio"", ¿cómo calificarías la utilidad de la aplicación para el niño con TEA?",¿Recomendarías esta aplicación móvil a otros tutores de niños con TEA?,Pregunta¿Qué sugerencias o mejoras podrías brindarnos para hacer la aplicación más efectiva y adecuada para los niños con TEA?,Algún otro comentario
1,TJP585683,de 1 a 3 semanas,9,Sí,Sí,Sí,No,10,Sí,,Me impresiona cómo utiliza la tecnología para adaptarse a las necesidades individuales de cada niño
2,TJP183846,de 1 a 3 semanas,9,Sí,Sí,Sí,No,8,Sí,,"Como tutor, encuentro que esta aplicación es una joya oculta en el mundo de la educación especial. No solo es innovadora, sino que también ofrece un enfoque inclusivo y accesible para enseñar conceptos difíciles a niños con autismo"
3,TJP633646,de 1 a 3 semanas,9,Sí,Sí,Sí,No,8,Sí,,Es una excelente manera de mantener comprometidos a los niños y fomentar su desarrollo cognitivo y social
4,TJP926734,de 1 a 3 semanas,10,Sí,Sí,Sí,No,10,Sí,,Estoy emocionado de ver cómo mejora su experiencia educativa
5,TJP766819,de 1 a 3 semanas,9,Sí,Sí,Sí,No,9,Sí,,Esta aplicación es un ejemplo perfecto de cómo la tecnología puede ser utilizada para el bienestar de los niños con necesidades especiales.
6,TJP873413,de 1 a 3 semanas,10,Sí,Sí,Sí,No,9,Sí,,
7,TJP242999,de 1 a 3 semanas,9,Sí,Sí,Sí,No,9,Sí,,"No solo proporciona una forma innovadora de enseñar, sino que también promueve la inclusión y la participación activa de todos los estudiantes, sin importar sus habilidades o necesidades"
8,TJP649445,de 1 a 3 semanas,8,Sí,Sí,Sí,No,9,Sí,,
9,TJP321173,de 1 a 3 semanas,8,Sí,Sí,Sí,No,8,Sí,,
10,TJP111554,de 1 a 3 semanas,9,Sí,Sí,Sí,No,9,Sí,,
