Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;2.307917;0
1;2;2.704125;2.30791687965393
2;3;3.13525;5.01204180717468
3;4;2.899125;8.14729189872742
4;5;3.3085;11.0464169979095
5;6;2.86375;14.354917049408
6;7;2.63525;17.2186670303345
7;8;2.642709;19.8539171218872
8;9;2.999042;22.4966261386871
9;10;2.777208;25.4956681728363
10;11;2.636416;28.2728762626648
11;12;2.867583;30.9092922210693
12;13;3.578791;33.7768752574921
13;14;2.802042;37.3556661605835
14;15;3.014584;40.1577081680298
15;16;2.429458;43.1722922325134
16;17;2.54375;45.6017501354218
17;18;2.912375;48.1455001831055
18;19;2.633042;51.0578751564026
19;20;3.830416;53.6909172534943
20;21;1.598709;57.5213332176208
21;22;2.797042;59.1200422048569
22;23;2.720291;61.9170840978622
23;24;3.038;64.637374997139
24;25;2.8975;67.6753751039505
25;26;2.69825;70.5728751420975
26;27;2.955791;73.2711251974106
27;28;2.804458;76.2269161939621
28;29;2.7105;79.0313740968704
29;30;2.925;81.7418740987778
30;31;2.472458;84.6668740510941
31;32;2.679458;87.1393319368362
32;33;3.033083;89.8187898397446
33;34;2.614958;92.8518728017807
34;35;2.7475;95.4668308496475
35;36;3.029625;98.2143307924271
36;37;2.519875;101.243955731392
37;38;2.67025;103.763830780983
38;39;2.996291;106.434080719948
39;40;2.672084;109.430371642113
40;41;3.086;112.102455735207
41;42;2.945334;115.188455700874
42;43;2.712916;118.133789658546
43;44;2.391083;120.846705555916
44;45;3.082292;123.237788558006
45;46;2.574917;126.320080637932
46;47;2.549;128.89499771595
47;48;2.989875;131.443997740746
48;49;2.514834;134.433872818947
49;50;2.876334;136.948706746101
50;51;2.803792;139.825040698051
51;52;2.193541;142.628832697868
52;53;2.816667;144.822373747826
53;54;2.989542;147.639040827751
54;55;2.48875;150.628582835197
55;56;2.630542;153.117332816124
56;57;3.004042;155.747874855995
57;58;2.662458;158.751916766167
58;59;3.005333;161.414374709129
59;60;2.922209;164.419707655907
60;61;2.493;167.341916680336
61;62;2.933209;169.834916710854
62;63;2.826583;172.768125653267
63;64;2.760292;175.594708561897
64;65;2.772041;178.35500061512
65;66;2.993167;181.127041697502
66;67;2.608041;184.120208621025
67;68;2.661417;186.728249669075
68;69;3.043208;189.389666676521
69;70;2.519583;192.432874560356
70;71;2.677875;194.952457547188
71;72;3.107792;197.630332589149
72;73;2.506709;200.738124489784
73;74;2.955167;203.2448335886
74;75;2.753375;206.20000064373
75;76;9.038625;208.953375697136
76;77;3.386834;217.992000460625
77;78;2.9845;221.378834366798
78;79;3.241167;224.363334298134
79;80;2.034209;227.604501366615
80;81;2.919084;229.638710379601
81;82;2.396791;232.557794451714
82;83;2.3765;234.954585433006
83;84;2.5415;237.331085324287
84;85;2.837334;239.87258541584
85;86;2.435375;242.709919333458
86;87;2.6055;245.145294308662
87;88;3.194458;247.750794291496
88;89;2.651375;250.945252299309
89;90;2.546291;253.596627354622
90;91;3.014333;256.142918229103
91;92;2.700167;259.157251238823
92;93;2.7575;261.857418179512
93;94;2.881375;264.614918112755
94;95;2.695791;267.496293187141
95;96;2.580917;270.19208419323
96;97;2.97775;272.773001074791
97;98;2.680542;275.750751137733
98;99;2.396917;278.431293129921
99;100;3.06575;280.828210234642
100;101;2.6485;283.893960118294
101;102;2.686167;286.542460083961
102;103;3.479042;289.228627085686
103;104;2.757;292.707669138908
104;105;2.853791;295.464669108391
105;106;3.211959;298.31846010685
106;107;2.372166;301.530418992043
107;108;3.060042;303.902584910393
108;109;3.02475;306.962626814842
109;110;2.736875;309.98737680912
110;111;2.673375;312.724251866341
111;112;2.456584;315.397626757622
