Frame Offset; Left Frame Index; Right Frame Index; Left Frame Time (ms); Left time from first frame (ms); Right Frame Time (ms); Right time from first frame (ms); Frame Time Diff (ms)
0;1;1;43.83408;0;1.876708;0;-41.95737
1;2;2;43.79371;43.8340835571289;3.529917;1.87670803070068;-40.26379
2;3;3;223.6802;87.6277923583984;0.912417;5.40662503242493;-222.7678
3;4;4;20.71438;311.307998657227;1.985583;6.31904202699661;-18.72879
4;5;5;33.2635;332.022375106812;2.009458;8.30462497472763;-31.25404
5;6;6;44.34821;365.285875320435;3.409083;10.3140830397606;-40.93913
6;7;7;20.18525;409.634084701538;0.885;13.7231659293175;-19.30025
7;8;8;5.987667;429.819334030151;2.127958;14.6081659197807;-3.859709
8;9;9;1.647084;435.807001113892;1.84825;16.7361239790916;0.201166
9;10;10;1.45625;437.454085111618;3.631333;18.5843740105629;2.175083
10;11;11;1.2325;438.910335063934;0.88675;22.215706884861;-0.34575
11;12;12;2.343417;440.142835021019;1.978458;23.1024568676949;-0.3649589
12;13;13;1.342834;442.486251950264;1.904083;25.080914914608;0.561249
13;14;14;1.241625;443.829085946083;3.518292;26.9849979281425;2.276667
14;15;15;1.347958;445.070710897446;0.948917;30.5032898783684;-0.399041
15;16;16;1.39075;446.418668866158;1.909125;31.4522068500519;0.5183749
16;17;17;1.320333;447.809418916702;2.02175;33.361331820488;0.701417
17;18;18;1.521625;449.1297519207;3.687;35.3830817937851;2.165375
18;19;19;1.272542;450.651376962662;0.917583;39.0700818300247;-0.354959
19;20;20;1.269625;451.923918962479;2.113083;39.9876648187637;0.8434579
20;21;21;1.219958;453.19354391098;1.9975;42.1007477045059;0.777542
21;22;22;1.490792;454.413501858711;3.38975;44.0982476472855;1.898958
22;23;23;1.212625;455.904293894768;0.971292;47.4879976511002;-0.241333
23;24;24;1.434708;457.116918921471;1.931291;48.4592896699905;0.496583
24;25;25;1.26375;458.5516269207;3.638292;50.3905806541443;2.374542
25;26;26;1.57375;459.815376877785;0.911958;54.0288727283478;-0.661792
26;27;27;1.229208;461.389126896858;1.958875;54.94083070755;0.7296669
27;28;28;1.508916;462.618334889412;1.884833;56.8997056484222;0.375917
28;29;29;1.196959;464.127250909805;3.594416;58.7845386266708;2.397457
29;30;30;1.383125;465.324209928513;0.906542;62.3789545297623;-0.4765829
30;31;31;1.411833;466.70733487606;1.964334;63.285496532917;0.552501
31;32;32;1.39825;468.119167923927;1.899584;65.2498305439949;0.501334
32;33;33;1.402709;469.517417907715;3.551833;67.1494144797325;2.149124
33;34;34;1.621625;470.920126914978;0.893708;70.7012473940849;-0.727917
34;35;35;1.282959;472.541751861572;1.977625;71.5949553847313;0.694666
35;36;36;1.413083;473.824710845947;1.834375;73.5725803971291;0.4212921
36;37;37;1.482208;475.237793803215;1.875916;75.4069554209709;0.393708
37;38;38;1.330417;476.72000181675;3.465458;77.2828714251518;2.135041
38;39;39;1.37125;478.05041885376;0.915334;80.7483293414116;-0.455916
39;40;40;1.513584;479.421668887138;1.9635;81.6636633276939;0.449916
40;41;41;505.3215;480.935252904892;3.4795;83.6271633505821;-501.842
41;42;42;30.63379;986.256725072861;0.879708;87.1066634058952;-29.75408
42;43;43;42.95433;1016.89051604271;2.021041;87.9863713979721;-40.93329
43;44;44;48.96234;1059.84484648705;1.875417;90.007412314415;-47.08692
44;45;45;44.29642;1108.80718398094;3.538583;91.8828293085098;-40.75784
45;46;46;42.03259;1153.10360121727;0.847583;95.4214123487473;-41.185
46;47;47;43.53466;1195.13618636131;1.993125;96.2689953446388;-41.54154
47;48;48;42.46663;1238.67085051537;1.963542;98.2621203064919;-40.50308
48;49;49;19.90867;1281.13747572899;3.408708;100.22566229105;-16.49996
49;50;50;9.682458;1301.04614233971;0.870792;103.6343703866;-8.811666
50;51;51;2.109333;1310.7286002636;1.981209;104.505162358284;-0.128124
51;52;52;3.013584;1312.83793330193;1.81225;106.486371397972;-1.201334
52;53;53;2.0995;1315.85151720047;3.50975;108.298621416092;1.41025
53;54;54;2.168083;1317.95101714134;0.844042;111.808371305466;-1.324041
54;55;55;1.579209;1320.11910009384;2.174542;112.65241330862;0.595333
55;56;56;1.184625;1321.69830906391;1.989459;114.826955258846;0.804834
56;57;57;1.220292;1322.88293409348;3.465041;116.816414296627;2.244749
57;58;58;1.194916;1324.10322606564;0.844375;120.281455218792;-0.350541
58;59;59;1.295708;1325.29814207554;1.953;121.125830233097;0.657292
59;60;60;1.210625;1326.59385001659;1.880791;123.078830182552;0.6701659
60;61;61;1.199875;1327.80447506905;3.614291;124.95962113142;2.414416
61;62;62;1.503584;1329.00435006618;0.820375;128.573912084103;-0.683209
62;63;63;0.928;1330.50793409348;1.989833;129.394287109375;1.061833
63;64;64;1.394792;1331.43593406677;1.814917;131.384120106697;0.420125
64;65;65;1.241041;1332.83072602749;3.653833;133.199037075043;2.412792
65;66;66;1.195666;1334.07176697254;24.53267;136.852869987488;23.337
66;67;67;1.032708;1335.26743292809;52.22025;161.385537147522;51.18754
67;68;68;1.306959;1336.30014097691;22.44792;213.605786323547;21.14096
68;69;69;1.31425;1337.60710000992;7.265041;236.053702354431;5.950791
69;70;70;0.968;1338.92135000229;3.925625;243.318743228912;2.957625
70;71;71;1.299417;1339.88934999704;1.991959;247.244368314743;0.692542
71;72;72;1.067083;1341.18876701593;2.297625;249.236327290535;1.230542
72;73;73;1.267625;1342.25585001707;2.090042;251.533952355385;0.8224169
73;74;74;1.213;1343.52347499132;1.865959;253.623994231224;0.6529591
74;75;75;1.166041;1344.73647493124;1.801333;255.489953279495;0.6352919
75;76;76;1.476125;1345.90251594782;1.482375;257.291286230087;0.006250024
76;77;77;0.964209;1347.37864094973;1.520083;258.773661255836;0.5558739
77;78;78;1.342167;1348.34284996986;1.813917;260.293744206429;0.47175
78;79;79;1.128875;1349.68501698971;1.469459;262.107661247253;0.3405839
79;80;80;1.25825;1350.81389200687;1.698666;263.577120184898;0.440416
80;81;81;1.10575;1352.07214200497;1.39075;265.275786161423;0.2850001
81;82;82;1.393208;1353.17789196968;1.423958;266.666536211967;0.03074992
82;83;83;1.982666;1354.57109999657;1.557875;268.090494155884;-0.424791
83;84;84;2.05175;1356.55376601219;2.366833;269.648369193077;0.315083
